domus/architecture-ecosystem score=982
domus/architecture score=802
domus/architecture2 score=987
domus/architecture3 score=979
domus/architecture4 score=0
domus/architecture5-components score=0
domus/auto-flow score=995
domus/co-pilot-extension score=1000
domus/Company-simp score=995
domus/Company score=985
domus/decoupled-subgraph score=1000
domus/deploy-pipeline-simplified score=1000
domus/deploy-pipeline score=1000
domus/domus1 score=997
domus/edge-from-subgraph score=1000
domus/edge-types score=980
domus/er-db-model score=963
domus/er-diagram score=997
domus/events score=990
domus/incremental-editing score=980
domus/life-choices score=997
domus/mermaid-ai-input-and-models score=1000
domus/mermaid-chart-architecture score=0
domus/multiple-edges score=1000
domus/mystery score=978
domus/ortho-mini-2 score=1000
domus/ortho-mini score=1000
domus/ortho1 score=994
domus/payments1 score=990
domus/project-sox2 score=972
domus/self-loop score=995
domus/state-machine score=990
domus/subgraph-variation-2 score=1000
domus/subgraph-variation score=1000
domus/svelte5-code score=894
domus/triage score=0
domus/triage2 score=0
